Date,Quarter,Department,Targeted Productivity,Overtime,No. of Workers,Actual Productivity
01-01-2015,Q1,Sewing,0.8,7080,59,0.940725424
01-01-2015,Q1,Finishing,0.75,960,8,0.8865
01-01-2015,Q1,Sewing,0.8,3660,30.5,0.800570492
01-01-2015,Q1,Sewing,0.8,3660,30.5,0.800570492
01-01-2015,Q1,Sewing,0.8,1920,56,
01-01-2015,Q1,Sewing,0.8,6720,56,0.800125
01-01-2015,Q1,Finishing,0.75,960,8,0.755166667
01-01-2015,Q1,Sewing,0.75,6900,57.5,0.753683478
01-01-2015,Q1,Sewing,0.75,6000,55,0.753097531
01-01-2015,Q1,Sewing,0.75,6900,57.5,0.750427826
01-01-2015,Q1,Sewing,0.7,6900,57.5,0.721126957
01-01-2015,Q1,Sewing,0.75,6480,54,0.712205247
01-01-2015,Q1,Sewing,0.8,3660,30.5,0.707045902
01-01-2015,Q1,Finishing,0.65,960,8,0.705916667
01-01-2015,Q1,Finishing,0.75,960,8,0.676666667
01-01-2015,Q1,Finishing,0.75,2160,18,0.593055556
01-01-2015,Q1,Finishing,0.8,960,8,0.540729167
01-01-2015,Q1,Sewing,0.65,7200,60,0.52118
01-01-2015,Q1,Finishing,0.7,1440,12,
01-03-2015,Q1,Finishing,0.8,6600,20,0.988024691
01-03-2015,Q1,Finishing,0.75,5640,17,0.987880435
01-03-2015,Q1,Finishing,0.8,960,8,0.956270833
01-03-2015,Q1,Finishing,0.75,1560,8,0.945277778
01-03-2015,Q1,Finishing,0.8,960,8,0.902916667
01-03-2015,Q1,Sewing,0.8,6300,56.5,0.800725314
01-03-2015,Q1,Sewing,0.8,6540,54.5,0.800322936
01-03-2015,Q1,Sewing,0.8,7080,59,0.800318644
01-03-2015,Q1,Sewing,0.8,7080,59,0.800318644
01-03-2015,Q1,Sewing,0.8,7080,29.5,0.800237288
01-03-2015,Q1,Sewing,0.8,7080,31.5,0.800148649
01-03-2015,Q1,Sewing,0.8,6720,56,0.800125
01-03-2015,Q1,Sewing,0.8,6720,56,0.800125
01-03-2015,Q1,Sewing,0.75,6480,54,0.787299691
01-03-2015,Q1,Finishing,0.8,960,8,0.782447917
01-03-2015,Q1,Sewing,0.75,6600,55,0.75024303
01-03-2015,Q1,Finishing,0.7,960,8,0.7018125
01-03-2015,Q1,Sewing,0.7,13800,60,0.700134038
01-03-2015,Q1,Sewing,0.7,6900,57.5,0.699965217
01-03-2015,Q1,Finishing,0.8,960,8,0.628333333
01-03-2015,Q1,Finishing,0.8,960,8,0.6253125
01-04-2015,Q1,Finishing,0.75,1560,8,0.991388889
01-04-2015,Q1,Finishing,0.8,960,8,0.931645833
01-04-2015,Q1,Finishing,0.8,960,8,0.915229167
01-04-2015,Q1,Sewing,0.8,6975,31,0.879714482
01-04-2015,Q1,Finishing,0.8,6600,20,0.861679012
01-04-2015,Q1,Sewing,0.8,7080,59,0.850569492
01-04-2015,Q1,Sewing,0.8,7020,56.5,0.850436438
01-04-2015,Q1,Sewing,0.8,6780,56.5,0.850345133
01-04-2015,Q1,Sewing,0.8,4260,55.5,0.800598058
01-04-2015,Q1,Sewing,0.8,7080,59,0.800318644
01-04-2015,Q1,Sewing,0.8,6660,55.5,0.800237838
01-04-2015,Q1,Sewing,0.8,6975,31,0.800030199
01-04-2015,Q1,Finishing,0.8,960,8,0.792104167
01-04-2015,Q1,Finishing,0.7,4320,18,0.759228395
01-04-2015,Q1,Sewing,0.75,6480,54,0.750348457
01-04-2015,Q1,Sewing,0.75,6600,55,0.75024303
01-04-2015,Q1,Sewing,0.7,6900,57.5,0.699965217
01-04-2015,Q1,Finishing,0.8,960,8,0.682708333
01-04-2015,Q1,Finishing,0.8,960,8,0.667604167
01-04-2015,Q1,Sewing,0.7,6960,58,0.603432184
01-04-2015,Q1,Finishing,0.75,960,8,0.345833333
01-05-2015,Q1,Finishing,0.8,1920,8,0.961059028
01-05-2015,Q1,Finishing,0.8,2400,10,0.939513889
01-05-2015,Q1,Finishing,0.8,3840,16,0.893663194
01-05-2015,Q1,Finishing,0.75,1920,8,0.875390625
01-05-2015,Q1,Sewing,0.8,7080,59,0.850569492
01-05-2015,Q1,Finishing,0.8,1920,8,0.820833333
01-05-2015,Q1,Finishing,What do you think should be here?,960,8,0.804416667
01-05-2015,Q1,Sewing,0.8,6780,56.5,0.800684366
01-05-2015,Q1,Sewing,0.8,6780,56.5,0.800684366
01-05-2015,Q1,Sewing,0.8,7080,59,0.800318644
01-05-2015,Q1,Sewing,0.8,4800,55,0.800250962
01-05-2015,Q1,Sewing,0.8,7200,32,0.800246011
01-05-2015,Q1,Sewing,0.8,7200,32,0.800246011
01-05-2015,Q1,Sewing,0.8,6900,57.5,0.800076522
01-05-2015,Q1,Sewing,0.8,6900,57.5,0.800076522
01-05-2015,Q1,Finishing,0.75,960,8,0.763375
01-05-2015,Q1,Finishing,0.6,960,8,0.759270833
01-05-2015,Q1,Sewing,0.75,7020,58.5,0.7504
01-05-2015,Q1,Sewing,0.75,6600,55,0.75024303
01-05-2015,Q1,Finishing,0.8,960,8,0.676666667
01-05-2015,Q1,Finishing,0.8,960,8,0.664583333
01-05-2015,Q1,Sewing,0.6,6960,58,0.600028736
01-06-2015,Q1,Finishing,0.8,4440,18,0.966781346
01-06-2015,Q1,Finishing,0.8,1440,8,0.936496212
01-06-2015,Q1,Finishing,0.75,1800,10,0.899166667
01-06-2015,Q1,Finishing,0.8,2700,15,0.888686869
01-06-2015,Q1,Finishing,0.8,1440,8,
01-06-2015,Q1,Sewing,0.8,10620,59,0.850502311
01-06-2015,Q1,Sewing,0.8,10620,59,0.850502311
01-06-2015,Q1,Finishing,0.75,1440,8,0.809640152
01-06-2015,Q1,Finishing,0.8,1440,8,0.805909091
01-06-2015,Q1,Sewing,0.8,10350,57.5,0.800594466
01-06-2015,Q1,Sewing,0.8,10350,57.5,0.800594466
01-06-2015,Q1,Sewing,0.8,9900,55,0.800273829
01-06-2015,Q1,Sewing,0.8,5310,31.5,0.800140969
01-06-2015,Q1,Sewing,0.8,10170,56.5,0.800128721
01-06-2015,Q1,Sewing,0.8,10170,56.5,0.800128721
01-06-2015,Q1,Sewing,0.8,4470,31.5,0.80007657
01-06-2015,Q1,Sewing,0.75,10530,58.5,0.750545455
01-06-2015,Q1,Sewing,0.75,9900,55,0.750057851
01-06-2015,Q1,Finishing,0.8,1440,8,0.681060606
01-06-2015,Q1,Sewing,0.65,10440,58,0.649983281
01-06-2015,Q1,Finishing,0.8,1440,8,0.61625
01-07-2015,Q1,Finishing,0.8,1440,8,0.951420455
01-07-2015,Q1,Finishing,0.8,1440,8,0.880530303
01-07-2015,Q1,Sewing,0.8,10620,59,0.850502311
01-07-2015,Q1,Sewing,0.8,10620,59,0.850502311
01-07-2015,Q1,Sewing,0.8,10170,56.5,0.850136766
01-07-2015,Q1,Finishing,0.75,2700,15,0.83
01-07-2015,Q1,Finishing,0.8,4440,18,0.827186544
01-07-2015,Q1,Finishing,0.8,1440,8,0.813371212
01-07-2015,Q1,Finishing,0.75,1440,8,0.805909091
01-07-2015,Q1,Finishing,0.8,1440,8,0.804640152
01-07-2015,Q1,Sewing,0.8,10350,57.5,0.800594466
01-07-2015,Q1,Sewing,0.8,10350,57.5,0.800594466
01-07-2015,Q1,Sewing,0.8,5490,30.5,0.800343766
01-07-2015,Q1,Sewing,0.8,9900,55,0.800273829
01-07-2015,Q1,Sewing,0.8,5670,31.5,0.800246753
01-07-2015,Q1,Sewing,0.8,10170,56.5,0.800128721
01-07-2015,Q1,Sewing,0.75,10530,58.5,0.8
01-07-2015,Q1,Sewing,0.7,9720,58,0.700480831
01-07-2015,Q1,Finishing,0.8,1440,8,0.681060606
01-07-2015,Q1,Finishing,0.8,1800,10,0.666515152
01-07-2015,Q1,Sewing,0.8,9900,55,0.412119835
01-07-2015,Q1,Finishing,0.7,1440,8,0.330113636
01-08-2015,Q2,Finishing,0.8,1440,8,0.947689394
01-08-2015,Q2,Finishing,0.8,12600,20,0.919905405
01-08-2015,Q2,Sewing,0.8,10620,59,0.900215716
01-08-2015,Q2,Finishing,0.8,1440,8,0.891723485
01-08-2015,Q2,Sewing,0.8,10620,59,0.850502311
01-08-2015,Q2,Sewing,0.8,10530,58.5,0.850181818
01-08-2015,Q2,Sewing,0.8,10170,56.5,0.850136766
01-08-2015,Q2,Sewing,0.8,10170,56.5,0.850136766
01-08-2015,Q2,Finishing,0.8,1440,8,0.835757576
01-08-2015,Q2,Finishing,0.7,3840,8,0.821354167
01-08-2015,Q2,Sewing,0.8,10050,58.5,This is NULL
01-08-2015,Q2,Sewing,0.8,9900,55,0.800273829
01-08-2015,Q2,Sewing,0.8,15120,31.5,0.800107143
01-08-2015,Q2,Sewing,0.8,14640,30.5,0.800024932
01-08-2015,Q2,Sewing,0.75,10530,58.5,0.8
01-08-2015,Q2,Finishing,0.75,1440,8,
01-08-2015,Q2,Finishing,0.8,1440,8,0.735984848
01-08-2015,Q2,Finishing,0.75,2160,12,0.712626263
01-08-2015,Q2,Finishing,0.8,1440,8,0.681060606
01-08-2015,Q2,Finishing,0.8,900,5,0.515606061
01-08-2015,Q2,Sewing,0.35,25920,54,0.349951389
01-08-2015,Q2,Sewing,0.7,10260,57,0.233705476
01-10-2015,Q2,Finishing,0.8,2160,8,0.985
01-10-2015,Q2,Finishing,0.75,2760,12,0.930340376
01-10-2015,Q2,Finishing,0.8,6000,20,0.911589744
01-10-2015,Q2,Finishing,0.8,1440,8,0.858143939
01-10-2015,Q2,Sewing,0.8,10620,59,0.851174114
01-10-2015,Q2,Sewing,0.8,10170,56.5,0.850136766
01-10-2015,Q2,Sewing,0.8,10170,56.5,0.850136766
01-10-2015,Q2,Finishing,0.8,1440,8,0.846950758
01-10-2015,Q2,Finishing,0.8,1440,8,0.817424242
01-10-2015,Q2,Finishing,0.8,1440,8,0.817102273
01-10-2015,Q2,Sewing,0.8,10440,58,0.801028213
01-10-2015,Q2,Sewing,0.8,10350,57.5,0.800594466
01-10-2015,Q2,Sewing,0.8,4710,31.5,0.800346445
01-10-2015,Q2,Sewing,0.8,5490,30.5,0.800343766
01-10-2015,Q2,Sewing,0.8,10620,59,0.800117103
01-10-2015,Q2,Sewing,0.8,10530,58.5,0.8
01-10-2015,Q2,Sewing,0.75,7080,56,0.750098351
01-10-2015,Q2,Sewing,0.5,9540,53,0.673245283
01-10-2015,Q2,Finishing,0.8,1440,8,0.670075758
01-10-2015,Q2,Finishing,0.8,1440,8,0.628882576
01-10-2015,Q2,Sewing,0.5,7680,56,0.388007813
01-10-2015,Q2,Finishing,0.5,1440,8,0.337973485
01-11-2015,Q2,Finishing,0.75,1440,8,0.93532197
01-11-2015,Q2,Finishing,0.8,3600,20,0.925643939
01-11-2015,Q2,Sewing,0.8,10620,59,0.900215716
01-11-2015,Q2,Finishing,0.8,1440,8,0.873068182
01-11-2015,Q2,Finishing,0.8,1440,8,0.858143939
01-11-2015,Q2,Sewing,0.8,10620,59,0.850502311
01-11-2015,Q2,Sewing,0.8,10170,56.5,0.850136766
01-11-2015,Q2,Sewing,0.8,10170,56.5,0.850136766
01-11-2015,Q2,Finishing,0.8,1440,8,0.828295455
01-11-2015,Q2,Finishing,0.8,1440,8,0.820833333
01-11-2015,Q2,Sewing,0.8,5490,30.5,0.800343766
01-11-2015,Q2,Sewing,0.8,5670,31.5,0.800246753
01-11-2015,Q2,Sewing,0.8,Some secret message?,58.5,0.8
01-11-2015,Q2,Sewing,0.8,10530,58.5,0.8
01-11-2015,Q2,Sewing,0.8,6420,55,0.690182815
01-11-2015,Q2,Finishing,0.8,1440,8,0.668087121
01-11-2015,Q2,Finishing,0.8,1440,8,0.653598485
01-11-2015,Q2,Finishing,0.5,1440,8,0.609138258
01-11-2015,Q2,Sewing,0.6,9540,53,0.600229846
01-11-2015,Q2,Finishing,0.8,1440,8,0.597348485
01-11-2015,Q2,Finishing,0.8,1440,8,0.590435606
01-11-2015,Q2,Sewing,0.8,10440,58,0.473134796
01-11-2015,Q2,Sewing,0.6,7980,57,0.452979626
01-12-2015,Q2,Finishing,0.8,1440,8,
01-12-2015,Q2,Finishing,0.35,3240,18,0.942213805
01-12-2015,Q2,Finishing,0.8,1800,10,0.905454545
01-12-2015,Q2,Finishing,0.8,1440,8,0.880530303
01-12-2015,Q2,Finishing,0.8,1440,8,0.858143939
01-12-2015,Q2,Sewing,0.8,8220,59,0.850522167
01-12-2015,Q2,Sewing,0.8,10620,59,0.850502311
01-12-2015,Q2,Sewing,0.8,10170,56.5,0.850136766
01-12-2015,Q2,Sewing,0.8,10170,56.5,0.850136766
01-12-2015,Q2,Finishing,0.8,1440,8,0.817424242
01-12-2015,Q2,Finishing,0.65,1440,8,0.809564394
01-12-2015,Q2,Sewing,0.8,9900,55,0.800273829
01-12-2015,Q2,Sewing,0.8,5670,31.5,0.800181818
01-12-2015,Q2,Sewing,0.8,4470,31.5,0.80007657
01-12-2015,Q2,Sewing,0.8,10530,58.5,0.8
01-12-2015,Q2,Finishing,0.8,1440,8,0.725
01-12-2015,Q2,Sewing,0.8,6930,58.5,0.688557555
01-12-2015,Q2,Sewing,0.65,8460,59,0.650040783
01-12-2015,Q2,Sewing,0.65,9540,53,0.64998056
01-12-2015,Q2,Finishing,0.8,1440,8,0.648106061
01-12-2015,Q2,Finishing,0.8,1440,8,0.640577652
01-12-2015,Q2,Sewing,0.35,7350,51.5,0.35063299
01-12-2015,Q2,Finishing,0.8,1440,8,0.24625
1/13/2015,Q2,Finishing,0.35,2160,12,0.952020202
1/13/2015,Q2,Finishing,0.8,1440,2,0.951420455
1/13/2015,Q2,Finishing,0.8,5400,20,0.912766667
1/13/2015,Q2,Finishing,0.8,1620,9,0.901262626
1/13/2015,Q2,Finishing,0.8,1440,8,0.858143939
1/13/2015,Q2,Sewing,0.8,10620,59,0.850502311
1/13/2015,Q2,Sewing,0.8,10620,59,0.850502311
1/13/2015,Q2,Sewing,0.8,10260,57,0.850252525
1/13/2015,Q2,Sewing,0.8,10170,56.5,0.850136766
1/13/2015,Q2,Finishing,0.65,1440,8,0.821354167
1/13/2015,Q2,Finishing,0.8,1440,8,0.805909091
1/13/2015,Q2,Sewing,0.8,5670,31.5,0.800246753
1/13/2015,Q2,Sewing,0.8,5670,31.5,0.800246753
1/13/2015,Q2,Sewing,0.8,10530,58.5,0.8
1/13/2015,Q2,Sewing,0.8,9900,55,0.705576584
1/13/2015,Q2,Finishing,0.8,1440,8,0.681060606
1/13/2015,Q2,Finishing,0.8,1440,8,0.670075758
1/13/2015,Q2,Finishing,0.8,1440,8,0.601278409
1/13/2015,Q2,Sewing,0.7,9540,53,0.582301029
1/13/2015,Q2,Sewing,0.7,10440,58,0.526810345
1/13/2015,Q2,Sewing,0.5,10170,56.5,0.500380799
1/13/2015,Q2,Sewing,0.35,10170,56.5,0.35020649
1/14/2015,Q2,Finishing,0.8,1980,Keep up the good work!,0.934607438
1/14/2015,Q2,Finishing,0.35,2700,8,0.908080808
1/14/2015,Q2,Sewing,0.8,10170,56.5,0.900144811
1/14/2015,Q2,Finishing,0.8,1440,8,0.891723485
1/14/2015,Q2,Finishing,0.65,1440,15,0.864583333
1/14/2015,Q2,Finishing,0.8,1440,8,0.858143939
1/14/2015,Q2,Sewing,0.8,10620,59,0.850502311
1/14/2015,Q2,Sewing,0.8,10170,56.5,0.850136766
1/14/2015,Q2,Finishing,0.8,1440,8,0.837594697
1/14/2015,Q2,Finishing,0.8,1440,7,0.820833333
1/14/2015,Q2,Sewing,0.8,2970,31.5,0.800313433
1/14/2015,Q2,Sewing,0.8,5670,31.5,0.800246753
1/14/2015,Q2,Sewing,0.8,10620,59,0.800117103
1/14/2015,Q2,Sewing,0.7,7320,58,0.700095563
1/14/2015,Q2,Finishing,0.8,1440,8,0.667329545
1/14/2015,Q2,Sewing,0.6,5100,57,0.600369686
1/14/2015,Q2,Sewing,0.5,3390,56.5,0.499980334
1/14/2015,Q2,Sewing,0.35,7200,55,0.35003125
1/14/2015,Q2,Finishing,0.8,1260,8,0.332359307
1/14/2015,Q2,Sewing,0.8,4260,57,0.311207464
1/14/2015,Q2,Finishing,0.8,1260,8,0.247316017
1/15/2015,Q3,Finishing,0.35,3600,20,0.988636364
1/15/2015,Q3,Finishing,0.8,3420,19,0.953110048
1/15/2015,Q3,Finishing,0.8,1440,8,0.884261364
1/15/2015,Q3,Finishing,0.65,1440,8,0.860653409
1/15/2015,Q3,Finishing,0.8,1440,8,0.858143939
1/15/2015,Q3,Sewing,0.8,10620,59,
1/15/2015,Q3,Sewing,0.8,8970,56.5,0.850415628
1/15/2015,Q3,Sewing,0.8,10170,56.5,0.850136766
1/15/2015,Q3,Sewing,0.8,10620,59,0.800117103
1/15/2015,Q3,Sewing,0.8,4950,31.5,0.80003139
1/15/2015,Q3,Sewing,0.8,4950,31.5,0.80003139
1/15/2015,Q3,Sewing,0.7,10440,58,0.700060345
1/15/2015,Q3,Finishing,0.8,1440,8,0.689299242
1/15/2015,Q3,Sewing,0.5,10170,56.5,0.660683293
1/15/2015,Q3,Sewing,0.65,10080,56,0.650130952
1/15/2015,Q3,Finishing,0.8,1440,8,0.606912879
1/15/2015,Q3,Sewing,0.6,10170,56.5,0.600291767
1/15/2015,Q3,Sewing,0.5,9900,55,0.500025069
1/15/2015,Q3,Sewing,0.5,9810,54.5,0.499998888
1/17/2015,Q3,Finishing,0.65,2700,15,0.98719697
1/17/2015,Q3,Finishing,0.8,1800,10,0.980909091
1/17/2015,Q3,Finishing,0.8,1440,8,0.974621212
1/17/2015,Q3,Finishing,0.8,1440,8,0.884261364
1/17/2015,Q3,Finishing,0.8,1800,10,0.82680303
1/17/2015,Q3,Sewing,0.8,5490,30.5,0.800343766
1/17/2015,Q3,Sewing,0.8,5670,31.5,0.800246753
1/17/2015,Q3,Sewing,0.8,10170,56.5,0.800128721
1/17/2015,Q3,Sewing,0.8,10170,56.5,0.800128721
1/17/2015,Q3,Sewing,0.8,10620,59,0.800117103
1/17/2015,Q3,Sewing,0.8,10620,59,0.800117103
1/17/2015,Q3,Sewing,0.6,6570,56.5,0.77011398
1/17/2015,Q3,Sewing,0.7,10170,56.5,0.7005417
1/17/2015,Q3,Finishing,0.8,1440,8,0.675568182
1/17/2015,Q3,Finishing,0.8,1440,8,0.661837121
1/17/2015,Q3,Sewing,0.65,9720,54,0.650198653
1/17/2015,Q3,Sewing,0.6,10170,56.5,0.600291767
1/17/2015,Q3,Sewing,0.6,10080,56,0.600273268
1/17/2015,Q3,Finishing,0.8,900,5,0.465757576
1/17/2015,Q3,Sewing,0.7,10440,58,0.452012539
1/17/2015,Q3,Finishing,0.8,1260,7,0.313852814
1/18/2015,Q3,Finishing,0.6,1440,8,0.852793561
1/18/2015,Q3,Finishing,0.65,2160,12,0.838383838
1/18/2015,Q3,Finishing,0.8,1800,10,0.804848485
1/18/2015,Q3,Sewing,0.8,5490,30.5,0.800343766
1/18/2015,Q3,Sewing,0.8,10170,56.5,0.800128721
1/18/2015,Q3,Sewing,0.8,10170,56.5,0.800128721
1/18/2015,Q3,Sewing,0.8,3660,59,0.800015009
1/18/2015,Q3,Sewing,0.7,10170,56.5,0.7005417
1/18/2015,Q3,Sewing,0.7,10080,56,0.700094156
1/18/2015,Q3,Finishing,0.8,1440,8,0.692045455
1/18/2015,Q3,Sewing,0.8,5670,31.5,0.662255892
1/18/2015,Q3,Sewing,0.65,10170,56.5,0.650416734
1/18/2015,Q3,Sewing,0.65,10260,57,0.650299575
1/18/2015,Q3,Sewing,0.65,10170,56.5,0.650243497
1/18/2015,Q3,Finishing,0.8,1440,8,0.639867424
1/18/2015,Q3,Sewing,0.6,10440,58,0.600062696
1/18/2015,Q3,Finishing,0.8,1800,10,0.582045455
1/18/2015,Q3,Sewing,0.8,10350,57.5,0.403242161
1/18/2015,Q3,Finishing,0.7,1440,8,0.235795455
1/19/2015,Q3,Finishing,0.7,5040,28,0.977272727
1/19/2015,Q3,Finishing,0.8,1800,10,0.964106061
1/19/2015,Q3,Finishing,0.65,1440,8,0.958901515
1/19/2015,Q3,Sewing,0.8,4380,31,0.800358775
1/19/2015,Q3,Sewing,0.8,3630,56.5,0.800162602
1/19/2015,Q3,Sewing,0.8,10620,59,0.800117103
1/19/2015,Q3,Finishing,0.8,1440,8,0.793844697
1/19/2015,Q3,Sewing,0.7,10170,56.5,0.750517565
1/19/2015,Q3,Sewing,0.7,10260,57,
1/19/2015,Q3,Sewing,0.7,10170,56.5,0.750062751
1/19/2015,Q3,Sewing,0.7,10080,56,0.750057359
1/19/2015,Q3,Sewing,0.7,10260,57,0.700170388
1/19/2015,Q3,Finishing,0.8,1440,8,0.683806818
1/19/2015,Q3,Sewing,0.65,8280,58,0.650066445
1/19/2015,Q3,Sewing,0.8,10260,57,0.576460393
1/19/2015,Q3,Sewing,0.5,10170,56.5,0.549969429
1/19/2015,Q3,Finishing,0.7,1440,8,0.538399621
1/19/2015,Q3,Finishing,0.7,1440,8,0.409545455
1/19/2015,Q3,Sewing,0.35,6120,34,0.35021836
1/20/2015,Q3,Finishing,0.7,1440,8,1.033570076
1/20/2015,Q3,Sewing,0.8,5580,31,0.800261486
1/20/2015,Q3,Sewing,0.8,10170,56.5,0.800128721
1/20/2015,Q3,Sewing,0.8,10620,59,0.800117103
1/20/2015,Q3,Sewing,0.7,10260,57,0.750068049
1/20/2015,Q3,Sewing,0.7,10080,56,0.750057359
1/20/2015,Q3,Sewing,0.7,8460,57,0.750037968
1/20/2015,Q3,Sewing,0.7,10260,57,0.750031898
1/20/2015,Q3,Finishing,0.8,1800,10,0.72830303
1/20/2015,Q3,Sewing,0.7,10260,57,0.700170388
1/20/2015,Q3,Sewing,0.7,10260,57,0.700063796
1/20/2015,Q3,Finishing,0.8,1440,8,0.639867424
1/20/2015,Q3,Sewing,0.5,3720,34,0.500290419
1/20/2015,Q3,Sewing,0.35,10080,56,0.400332792
1/20/2015,Q3,Finishing,0.7,2700,15,0.362666667
1/21/2015,Q3,Finishing,0.75,6000,20,0.978525641
1/21/2015,Q3,Finishing,0.7,5100,17,0.912202112
1/21/2015,Q3,Sewing,0.75,10080,56,0.900556277
1/21/2015,Q3,Sewing,0.8,5760,89,0.850410511
1/21/2015,Q3,Finishing,0.8,2400,8,0.827147436
1/21/2015,Q3,Sewing,0.8,7470,56.5,0.800436542
1/21/2015,Q3,Sewing,0.7,10500,57,0.800415742
1/21/2015,Q3,Sewing,0.7,10080,56,0.800020563
1/21/2015,Q3,Finishing,0.7,2400,8,0.758173077
1/21/2015,Q3,Sewing,0.7,10440,58,0.750344828
1/21/2015,Q3,Sewing,0.7,10260,57,0.750068049
1/21/2015,Q3,Sewing,0.7,10260,57,0.700170388
1/21/2015,Q3,Sewing,0.65,10260,57,0.700029771
1/21/2015,Q3,Sewing,0.6,6360,34,
1/21/2015,Q3,Finishing,0.8,2400,8,0.594871795
1/21/2015,Q3,Sewing,0.8,4140,58,0.520237649
1/21/2015,Q3,Finishing,0.65,2400,8,0.505128205
1/21/2015,Q3,Sewing,0.5,10080,56,0.500241342
1/21/2015,Q3,Finishing,0.7,2700,9,0.470769231
1/22/2015,Q4,Finishing,0.6,6000,10,0.957638889
1/22/2015,Q4,Finishing,0.75,8400,14,0.940701058
1/22/2015,Q4,Sewing,0.75,10080,56,0.849983766
1/22/2015,Q4,Sewing,0.7,10620,57,0.800302791
1/22/2015,Q4,Sewing,0.8,6360,32,0.800191989
1/22/2015,Q4,Sewing,0.75,10080,56,0.800020563
1/22/2015,Q4,Sewing,0.7,12180,57,0.750162367
1/22/2015,Q4,Sewing,0.7,10260,57,0.750068049
1/22/2015,Q4,Finishing,0.7,9000,15,0.742901235
1/22/2015,Q4,Sewing,0.7,10440,58,0.700250784
1/22/2015,Q4,Sewing,0.7,10260,57,0.700170388
1/22/2015,Q4,Finishing,0.75,9000,15,0.670216049
1/22/2015,Q4,Finishing,0.7,15000,25,0.649662222
1/22/2015,Q4,Finishing,0.7,15000,25,0.649662222
1/22/2015,Q4,Finishing,0.8,4800,8,0.626822917
1/22/2015,Q4,Sewing,0.6,6960,34,0.600436426
1/22/2015,Q4,Sewing,0.6,10260,57,0.60041361
1/22/2015,Q4,Sewing,0.8,10770,56.5,0.555500132
1/22/2015,Q4,Sewing,0.5,10440,58,0.500547544
